CUSTOMER_ID,FIRST_NAME,LAST_NAME,COUNTRY,AGE_GROUP,EDUCATION_LEVEL,MARITAL_STATUS
165,Roseline,Tobeck,Réunion,18-25,4,1
166,Akilah,Yeah,Puerto Rico,40-55,2,2
167,Cher,Deluzio,Bhutan,18-25,4,2
168,Lilian,Astin,Honduras,18-25,2,2
169,Cheryl,Viner,Pakistan,18-25,2,2
170,Nelda,Fredline,Australia,55-67,1,2
171,Sadie,Carol,Bangladesh,25-39,3,1
172,Evelyne,Eikleberry,Ethiopia,25-39,2,2
173,Yi,Entwisle,Germany,25-39,1,2
174,Lakeesha,Elsken,Japan,25-39,2,2
175,Pamala,Ziad,Grenada,40-55,4,3
176,Arvilla,Duguay,Spain,25-39,3,1
177,Ina,Huezo,Australia,25-39,2,2
178,Leonor,Cotney,Montenegro,25-39,1,2
179,Glenna,Mickelsen,Palestine,18-25,3,2
180,Gertrud,Wnuk,U.S. Virgin Islands,25-39,2,2
181,Bruna,Mcgeeney,United Kingdom,25-39,1,2
182,Lon,Hruby,Albania,55-67,6,1
183,Janelle,Trigleth,Egypt,25-39,1,3
184,Sherrill,Pendergrast,Brazil,25-39,3,0
185,Frederic,Voner,Réunion,25-39,0,2
186,Marva,Weddel,Cameroon,55-67,4,2
187,Wendell,Ceballos,Russia,25-39,1,1
188,Jacqulyn,Filkins,Bulgaria,25-39,1,1
189,Tamica,Kero,Singapore,40-55,2,2
190,Trudi,Biasi,Uruguay,18-25,2,2
191,Luciana,Windus,Jordan,25-39,2,3
192,Jacquline,Wigglesworth,Honduras,25-39,1,2
193,Camila,Vonbargen,Hungary,55-67,1,1
194,Ronald,Barnar,Turkey,40-55,2,0
195,Tajuana,Bachinski,Egypt,18-25,3,2
196,Linwood,Pon,Japan,18-25,2,3
197,Mohamed,Monasterio,Malta,40-55,2,2
198,Gwyn,Kurtzer,Macau,40-55,2,2
199,Elina,Rily,St. Lucia,25-39,3,2
200,Serita,Salsedo,Venezuela,25-39,1,1
201,Jose,Empson,Uruguay,40-55,0,0
202,Emelda,Soop,Guernsey,25-39,2,2
203,Julieann,Brightful,Ukraine,25-39,3,1
204,Lilian,Kuehnhold,Singapore,25-39,3,1
205,Anja,Sohns,United Arab Emirates,25-39,3,2
206,Harrison,Zavacky,Czechia,25-39,2,2
207,Fleta,Veney,Suriname,55-67,3,2
208,Monique,Poskus,Lithuania,25-39,1,2
209,Leonila,Catanzano,Russia,25-39,2,2
210,Damien,Chai,Morocco,25-39,2,1
211,Roger,Speiden,Senegal,40-55,3,1
212,Cayla,Vergara,Dominican Republic,25-39,3,2
213,Toney,Siprasoeuth,Japan,40-55,3,3
214,Antione,Hamby,Myanmar (Burma),40-55,0,1
215,Emanuel,Sardi,Costa Rica,25-39,3,0
216,Sanjuanita,Vermeer,Bangladesh,18-25,2,2
217,Krystal,Treakle,Belgium,40-55,1,1
218,Marivel,Hancock,Rwanda,25-39,2,2
219,Madelene,Allbright,Turkey,18-25,3,1
220,Charlie,Edberg,Serbia,18-25,3,3
221,Charisse,Macha,Hungary,25-39,3,2
222,Lavette,Monterroza,Hungary,40-55,0,2
223,Emilio,Simer,Venezuela,40-55,4,3
224,Louis,Bouy,Canada,25-39,6,2
225,Mariano,Sconiers,Bolivia,18-25,3,2
226,Federico,Puppe,Australia,25-39,3,2
227,Alisha,Hendron,Saudi Arabia,55-67,4,2
228,Tona,Hendericks,Venezuela,55-67,1,1
229,Jerri,Lastra,Jordan,25-39,4,1
230,Malcolm,Mondella,Japan,18-25,1,0
231,Jere,Koualeski,Italy,40-55,1,1
232,Colby,Yengo,Belize,40-55,3,1
233,Celesta,Michaeli,Iraq,25-39,1,1
234,Virgie,Cott,Dominican Republic,25-39,4,1
235,Kristofer,Benauides,Grenada,18-25,3,2
236,Fritz,Hoggan,Kuwait,40-55,3,1
237,Nicholas,Leinweber,Singapore,40-55,1,3
238,Sandy,Cianciolo,Morocco,25-39,4,1
239,Evette,Vanos,Kenya,40-55,1,2
240,Gerald,Kubeck,Mauritius,40-55,3,2
241,Stephanie,Hoglund,Fiji,40-55,3,2
242,Clementina,Maracle,New Caledonia,25-39,4,2
243,Renda,Smarra,Andorra,25-39,1,2
244,Berry,Tally,Azerbaijan,40-55,3,2
245,Alane,Hermens,Palestine,40-55,1,2
246,Sebrina,Vanloh,Angola,25-39,2,2
247,Wilburn,Theis,Portugal,40-55,6,1
248,Claribel,Francoise,Russia,25-39,3,2
249,Hanh,Brazille,Philippines,18-25,3,2
250,Antonia,Contopoulos,Germany,18-25,3,2
251,Romeo,Clouthier,Austria,18-25,1,2
252,Savanna,Somers,Bhutan,25-39,6,1
253,Lucius,Bryington,Greece,25-39,3,2
254,Felipa,Sealock,Jersey,18-25,3,2
255,Beaulah,Paongo,Slovenia,40-55,3,3
256,Esmeralda,Vanzante,Pakistan,25-39,3,2
257,Savannah,Burfield,France,25-39,2,2
258,Dionna,Randell,Czechia,18-25,1,2
259,Rima,Eichner,Bulgaria,40-55,2,1
260,Iliana,Nush,Colombia,55-67,3,1
261,Ramonita,Wernz,Congo - Kinshasa,40-55,3,2
262,Adell,Brinkmeyer,Vietnam,55-67,1,2
263,Karin,Blanzy,India,40-55,1,2
264,Cheyenne,Julitz,Eritrea,18-25,1,1
265,Marcelina,Schoepfer,Latvia,18-25,2,1
266,Sari,Savi,Mauritius,18-25,4,2
267,Jana,Ollis,Brunei,25-39,1,3
268,Shu,Laxen,Poland,40-55,1,3
269,Rosa,Beaty,Malaysia,25-39,3,2
270,Emmie,Emler,Faroe Islands,25-39,2,1
271,Teressa,Ottosen,Singapore,25-39,4,2
272,Minh,Kintigh,Bermuda,25-39,1,2
273,Manuel,Abdeldayen,Australia,25-39,1,2
274,Lovetta,Hymes,Egypt,40-55,4,1
275,Rossana,Zwingman,Denmark,40-55,2,2
276,Shad,Thronson,Bahamas,25-39,1,2
277,Lyda,Veer,Trinidad & Tobago,18-25,3,0
278,Agustin,Evanski,Senegal,40-55,3,2
279,Delbert,Sarti,Bolivia,40-55,1,1
280,Alaina,Andel,Australia,40-55,1,2
281,Wonda,Kundinger,Qatar,18-25,1,2
282,Celestina,Latunski,Tanzania,25-39,4,1
283,Solomon,Fie,United States,18-25,3,3
284,Jacquelyne,Maywood,Jordan,25-39,3,2
285,Lamont,Lazaro,Indonesia,18-25,1,2
286,Rheba,Ouimette,Martinique,18-25,2,1
287,Melita,Zuccaro,South Africa,25-39,3,2
288,Melida,Marusarz,Uruguay,40-55,1,2
289,Stefanie,Hoffhines,Ecuador,25-39,3,1
290,Hong,Callon,Mauritius,40-55,3,1
291,Jamal,Farrier,Portugal,25-39,1,2
292,Juliette,Micalizzi,Bahrain,18-25,3,1
293,Signe,Auzat,Ireland,40-55,0,1
294,Kylee,Gallinaro,Pakistan,40-55,4,2
295,Nova,Gheewala,Singapore,25-39,2,2
296,Petronila,Sollberger,Angola,40-55,2,2
297,Mariela,Limburg,Hong Kong,18-25,4,2
298,Son,Perow,South Africa,18-25,3,1
299,Lien,Kaywood,Croatia,25-39,2,1
300,Marlena,Stepter,Thailand,40-55,1,1
301,Kenton,Latiker,Taiwan,55-67,1,1
302,Kayce,Moreton,Argentina,25-39,1,1
303,Zoraida,Schieber,Tanzania,25-39,0,1
304,Malia,Vukelj,Australia,18-25,2,2
305,Rosina,Pushard,Argentina,25-39,2,1
306,Lady,Bertling,Puerto Rico,25-39,3,1
307,Albina,Baka,Moldova,18-25,2,0
308,Lashanda,Meshell,Honduras,40-55,3,2
309,Elma,Almestica,Australia,25-39,3,1
310,Laurie,Nejman,Bahamas,40-55,4,2
311,Marcela,Shiverdecker,Czechia,40-55,2,1
312,Kecia,Eaker,El Salvador,40-55,1,2
313,Marylouise,Boehl,Senegal,25-39,3,2
314,Daniela,Malizia,Kazakhstan,40-55,6,2
315,Katharyn,Patcher,Finland,25-39,1,2
316,Miranda,Linnemann,Israel,18-25,1,2
317,Kenda,Mccarr,Qatar,18-25,3,2
318,Tereasa,Marcinkiewicz,New Zealand,40-55,0,2
319,Renna,Wujcik,Germany,25-39,1,3
320,Melony,Legleiter,Dominican Republic,25-39,2,0
321,Lisa,Generous,El Salvador,25-39,3,0
322,Marianela,Schumpert,Kenya,25-39,3,3
323,Carisa,Bliven,Bermuda,25-39,1,1
324,Renea,Swade,Greece,40-55,2,1
325,Carmine,Town,Germany,18-25,2,2
326,Chandra,Bucy,Turkey,18-25,3,0
327,Nida,Mades,Bosnia & Herzegovina,25-39,2,1
328,Lorine,Schleicher,France,40-55,3,2
329,Vernie,Sayyed,Nepal,40-55,3,2
330,Demetria,Kuns,South Korea,18-25,3,2
331,Arnulfo,Halsted,United States,18-25,0,1
332,Lindy,Ardan,Bahrain,25-39,3,2
333,Christine,Niezgoda,Slovenia,40-55,3,2
334,Mirella,Grueser,Ukraine,25-39,0,1
335,Shanti,Hefti,Kenya,40-55,1,1
336,Kayla,Neri,China,18-25,3,2
337,Tomika,Rull,Latvia,40-55,3,0
338,Denisha,Castonguay,Croatia,55-67,2,2
339,Svetlana,Hinman,Romania,25-39,3,2
340,Becki,Calhoon,Serbia,25-39,1,1
341,Milford,Magid,Guam,18-25,1,1
342,Kary,Garfield,Guatemala,25-39,1,2
343,Georgene,Paeth,Ukraine,18-25,2,1
344,America,Bali,Nicaragua,25-39,3,1
345,Lila,Kost,Thailand,18-25,3,0
346,Philip,Manske,Singapore,40-55,1,3
347,Georgann,Rosich,Japan,55-67,1,1
348,Karmen,Espino,Gabon,25-39,2,2
349,Arlean,Chaplen,Finland,55-67,2,1
350,Enriqueta,Burston,Cambodia,40-55,2,1
351,Ted,Wilbourn,Kyrgyzstan,25-39,1,1
352,Germaine,Ocran,Luxembourg,25-39,3,1
353,Angelia,Doldo,Czechia,18-25,3,2
354,Clayton,Hanebutt,Nigeria,55-67,6,2
355,Sherise,Schaetzle,Russia,18-25,2,3
356,Elton,Mickleberry,Austria,25-39,1,2
357,Sommer,Griffon,Guatemala,25-39,4,1
358,Antione,Waguespack,Venezuela,40-55,1,2
359,Tom,Brotherton,Mexico,18-25,3,1
360,Cherilyn,Ruttan,Libya,25-39,3,1
361,Bryant,Groce,Vietnam,25-39,3,2
362,Helen,Frint,Panama,25-39,2,2
363,Hettie,Couden,United States,18-25,2,3
364,Danna,Bickes,Nigeria,25-39,2,2
365,Waltraud,Koepke,Vietnam,25-39,3,2
366,Stanford,Gurkin,Costa Rica,25-39,3,1
367,Ryann,Ioele,United States,25-39,2,2
368,Geralyn,Menzer,Slovenia,18-25,3,1
369,Matthew,Duperry,Slovakia,25-39,2,2
370,Harriet,Macrae,Liechtenstein,18-25,2,2
371,Abby,Qadeer,Czechia,40-55,6,2
372,Everette,Bristle,Palestine,25-39,1,2
373,Delfina,Folds,Philippines,18-25,2,0
374,Conchita,Milan,Lithuania,25-39,1,0
375,Shanda,Rush,South Africa,25-39,3,1
376,Kimi,Ferster,United States,55-67,1,2
377,Lashanda,Dzwonkowski,Finland,40-55,6,2
378,Rhoda,Rosten,Jamaica,40-55,3,2
379,Steven,Lindorf,Tunisia,25-39,1,2
380,Staci,Sprow,Oman,18-25,1,2
381,Joi,Liddicoat,South Korea,18-25,3,2
382,Isidro,Dufer,Ukraine,25-39,3,1
383,Yukiko,Vincenzo,Maldives,55-67,3,0
384,Alexandria,Demmy,Switzerland,18-25,1,3
385,Jeni,Monzon,Germany,40-55,2,0
386,Myrta,Drybread,Cape Verde,40-55,3,1
387,Yevette,Kalberer,Switzerland,40-55,4,1
388,Kelsi,Hearston,Iraq,18-25,1,3
389,An,Delmas,Belarus,18-25,0,2
390,Sandee,Puidokas,Guinea,40-55,3,2
391,Julee,Testa,South Africa,40-55,3,1
392,Angla,Blaho,Russia,25-39,1,3
393,Bryce,Dykas,Australia,55-67,3,1
394,Gonzalo,Rian,Czechia,40-55,3,1
395,Brook,Wollam,Macau,55-67,6,2
396,Valeria,Lindner,Belgium,18-25,4,1
397,Mckinley,Papps,Sweden,18-25,6,1
398,Andrea,Engleby,St. Vincent & Grenadines,25-39,3,2
399,Carol,Emmett,Congo - Brazzaville,55-67,2,2
400,Berta,Delegado,Slovakia,40-55,4,2
401,Lise,Neumiller,Angola,25-39,1,2
402,Denise,Honzel,Vietnam,25-39,3,3
403,Natividad,Giulioli,Ukraine,25-39,1,2
404,Delmer,Mikeska,Italy,25-39,3,2
405,Royce,Francom,Colombia,55-67,3,2
406,Kristian,Sanlucas,Maldives,18-25,1,2
407,Li,Scalzo,United States,18-25,2,2
408,Kiesha,Pieffer,Chile,25-39,2,2
409,Mirna,Kuba,Sri Lanka,18-25,2,2
410,Vernon,Hatlee,Turkmenistan,40-55,3,2
411,Alphonse,Alghamdi,Maldives,55-67,1,2
412,James,Rocha,Curaçao,18-25,1,1
413,Halley,Tansley,Barbados,25-39,4,1
414,Renea,Aumavae,Sweden,25-39,2,2
415,Coletta,Wyman,United States,25-39,3,0
416,Kia,Rezac,Portugal,25-39,2,2
417,Mirtha,Mallary,Cambodia,40-55,3,1
418,Marjory,Lomax,El Salvador,40-55,3,3
419,Anibal,Leipert,Czechia,55-67,3,1
420,Norberto,Drobny,Iran,25-39,1,1
421,Tomasa,Sumaya,Brunei,25-39,1,2
422,Minh,Sens,Singapore,18-25,3,2
423,Senaida,Pyun,Singapore,25-39,2,2
424,Caroll,Sotomayer,Lithuania,18-25,3,1
425,Cherrie,Dickens,Pakistan,25-39,2,3
426,Alaine,Swansbrough,United States,40-55,1,2
427,Misti,Molinski,Senegal,25-39,2,1
428,Erick,Gevedon,Ghana,25-39,1,0
429,Elmo,Bloyd,Kyrgyzstan,25-39,3,2
430,Genesis,Hoguet,French Polynesia,25-39,3,2
431,Latoria,Boben,Poland,25-39,3,1
432,Peg,Codner,Trinidad & Tobago,25-39,3,2
433,Tami,Dunn,Kazakhstan,40-55,1,2
434,Trudy,Beidleman,Croatia,25-39,3,2
435,Sydney,Potier,Turkey,25-39,1,2
436,Del,Bovian,Greece,25-39,1,2
437,Ligia,Hemmeter,Kazakhstan,25-39,3,2
438,Buck,Bensberg,Taiwan,25-39,2,2
439,Nyla,Boule,Serbia,25-39,4,2
440,Kyle,Santarsiero,Armenia,25-39,3,2
441,Del,Decoud,Canada,18-25,0,1
442,Sena,Matras,Bangladesh,25-39,4,2
443,Tammara,Ryland,Uruguay,18-25,1,3
444,Georgina,Tagaloe,Chile,18-25,1,2
445,Magaret,Silvas,Germany,40-55,2,2
446,Elenore,Schlarbaum,Albania,18-25,1,0
447,Kylie,Ripka,Bolivia,55-67,3,1
448,Ginette,Beaty,Georgia,25-39,1,1
449,Dawna,Dambrosia,Ukraine,40-55,1,1
450,Hildegarde,Avie,Canada,18-25,3,2
451,Jaymie,Grierson,St. Kitts & Nevis,40-55,6,2
452,Drusilla,Mosqueda,Costa Rica,25-39,4,2
453,Thomas,Porterfield,El Salvador,18-25,4,2
454,Nicolle,Artley,Lithuania,25-39,3,2
455,Luana,Szumski,Egypt,18-25,3,1
456,Shae,Vind,Brazil,25-39,2,2
457,Guy,Decastro,United Kingdom,40-55,6,1
458,Clifford,Cyrnek,Japan,18-25,3,1
459,Bill,Dalio,Myanmar (Burma),55-67,1,1
460,Anissa,Shurak,Saudi Arabia,25-39,2,1
461,Shirleen,Choy,Morocco,40-55,1,3
462,Grace,Saxe,Uganda,40-55,1,1
463,Ashleigh,Heiser,Italy,25-39,0,2
464,Miss,Illar,France,25-39,3,1
465,Chieko,Perrigan,Bulgaria,25-39,1,1
466,Mindy,Alim,Guatemala,40-55,4,2
467,Martin,Vestering,Zimbabwe,18-25,2,2
468,Ernestine,Knoten,Netherlands,18-25,2,2
469,Lena,Montellano,Congo - Kinshasa,55-67,3,2
470,Lelah,Millison,Austria,40-55,1,1
471,Vicente,Eberline,Algeria,25-39,2,2
472,Colleen,Sechang,Puerto Rico,18-25,1,2
473,Branden,Stuckert,Slovakia,25-39,2,1
474,Belle,Huffaker,France,25-39,6,2
475,Kitty,Glasson,Poland,25-39,3,1
476,Salena,Legeyt,Egypt,25-39,2,0
477,Stella,Scheidel,Vietnam,25-39,1,1
478,Diedre,Wojenski,Bahrain,40-55,4,1
479,Moira,Veyna,Belgium,25-39,1,2
480,Alphonso,Dobbyn,Vietnam,55-67,6,2
481,Marchelle,Drone,Mexico,25-39,6,2
482,Juli,Debroux,Germany,18-25,3,1
483,Carlton,Nooner,Colombia,40-55,2,1
484,Lucien,Gerla,Bosnia & Herzegovina,25-39,1,2
485,Cleora,Mcclain,Turkey,25-39,3,2
486,Ava,Meriwether,Macau,40-55,3,3
487,Cassy,Mancil,Dominican Republic,18-25,1,2
488,Estelle,Alevedo,Thailand,25-39,3,3
489,Kaleigh,Saroop,Venezuela,40-55,1,0
490,Tiffani,Metevelis,Qatar,40-55,2,3
491,Lisabeth,Mannon,South Africa,55-67,2,2
492,King,Pruneda,Honduras,40-55,1,0
493,Christiana,Karlsson,Trinidad & Tobago,25-39,2,2
494,Epifania,Bellflowers,United Kingdom,18-25,1,1
495,Nickolas,Janish,Czechia,25-39,3,1
496,Rosetta,Chiasson,Spain,40-55,2,2
497,Xiomara,Grand,Russia,18-25,3,1
498,Tristan,Train,Indonesia,55-67,2,2
499,Angelita,Croak,Sweden,25-39,1,2
500,Eliz,Wakins,Bosnia & Herzegovina,18-25,2,2
501,Karissa,Rodwell,Jordan,25-39,2,2
502,Maisha,Iwasaki,Mongolia,18-25,6,1
503,Armando,Kanipe,Qatar,18-25,2,2
504,Jude,Rohweder,Canada,18-25,3,3
505,Richelle,Sesler,Laos,25-39,3,2
506,Noah,Strenge,France,25-39,0,2
507,Lashawnda,Perrotti,Norway,25-39,2,0
508,Calista,Falor,Gibraltar,25-39,1,2
509,Jean,Luken,Armenia,40-55,3,2
510,Reiko,Corey,Panama,25-39,4,2
511,Nelia,Rohlfing,Ecuador,18-25,3,1
512,Classie,Marlin,Monaco,18-25,1,1
513,Josefine,Heinsohn,Singapore,40-55,1,2
514,Sharie,Burker,Yemen,18-25,2,2
515,Jinny,Tuthill,Thailand,55-67,3,2
516,Mohammed,Landy,United States,25-39,1,2
517,Hoa,Fairley,Myanmar (Burma),40-55,6,1
518,Corrin,Boseman,Mozambique,18-25,3,0
519,Hank,Gan,Australia,40-55,4,2
520,Marquitta,Hiestand,Peru,18-25,2,1
521,Louie,Orren,Hong Kong,40-55,2,0
522,Pedro,Grayson,Vietnam,18-25,1,1
523,Hettie,Poggi,Thailand,25-39,0,1
524,Pearlie,Baseley,Mauritius,40-55,1,1
525,Humberto,Barger,Costa Rica,25-39,6,3
526,Dagmar,Lano,Turkey,40-55,3,2
527,Danyel,Raul,Gibraltar,25-39,6,0
528,Reatha,Rushing,Dominican Republic,18-25,3,2
529,Philomena,Stangle,Costa Rica,40-55,3,2
530,Meg,Lancz,Papua New Guinea,25-39,4,1
531,Roman,Cregin,South Korea,40-55,1,2
532,Allen,Bolds,Thailand,55-67,3,1
533,Janette,Revermann,Kenya,25-39,3,2
534,Josef,Hosse,Monaco,40-55,2,2
535,Noreen,Winkler,Honduras,18-25,3,3
536,Tommye,Giacchi,Algeria,25-39,1,1
537,Tyron,Rasor,Tunisia,18-25,6,2
538,Fatima,Rautenberg,Georgia,40-55,1,0
539,Wanita,Reichow,Bangladesh,25-39,1,2
